captcha_id,label,path,digit_sources,augment_params,quality_status
captcha_001383,0851,data/captcha_images/captcha_001383_0851.png,sklearn_01415|sklearn_01443|sklearn_00548|sklearn_00693,"{""blur_radius"": 0.4049833844854017, ""rotation"": -0.48919281381464597, ""brightness"": 1.1377432568334458, ""contrast"": 0.9159969099663847, ""noise_sigma"": 2.1586906723271815, ""line_count"": 3, ""perspective_strength"": 0.03238840227168178}",unreviewed
captcha_001881,8477,data/captcha_images/captcha_001881_8477.png,sklearn_00742|sklearn_00580|sklearn_01719|sklearn_00653,"{""blur_radius"": 0.8953134115277703, ""rotation"": 2.4795022263390543, ""brightness"": 1.0035692342778384, ""contrast"": 1.2362957454602175, ""noise_sigma"": 6.0191562646189976, ""line_count"": 2, ""perspective_strength"": 0.003259666818294324}",unreviewed
captcha_004901,5019,data/captcha_images/captcha_004901_5019.png,sklearn_00046|sklearn_00208|sklearn_00832|sklearn_00942,"{""blur_radius"": 0.535383706079646, ""rotation"": -3.30014339397904, ""brightness"": 0.8714946712503335, ""contrast"": 1.1546980504748263, ""noise_sigma"": 7.39481668261366, ""line_count"": 2, ""perspective_strength"": 0.02794951248761561}",unreviewed
captcha_001524,7464,data/captcha_images/captcha_001524_7464.png,sklearn_00364|sklearn_01681|sklearn_00542|sklearn_01043,"{""blur_radius"": 0.8067884457143107, ""rotation"": -2.4602777904597515, ""brightness"": 1.1345198633925226, ""contrast"": 1.1136868557351507, ""noise_sigma"": 3.3452427784241605, ""line_count"": 1, ""perspective_strength"": 0.025086990156160966}",unreviewed
captcha_004654,0056,data/captcha_images/captcha_004654_0056.png,sklearn_00334|sklearn_00126|sklearn_00896|sklearn_00146,"{""blur_radius"": 0.7290633492011336, ""rotation"": 0.9083761670472876, ""brightness"": 1.074733224571474, ""contrast"": 1.2025468421950638, ""noise_sigma"": 4.259881561609174, ""line_count"": 2, ""perspective_strength"": 0.011462215711647638}",unreviewed
captcha_000960,2808,data/captcha_images/captcha_000960_2808.png,sklearn_01017|sklearn_00414|sklearn_01082|sklearn_00509,"{""blur_radius"": 0.23485646327502074, ""rotation"": -2.314239858978387, ""brightness"": 0.9942253352622238, ""contrast"": 1.1351249870052214, ""noise_sigma"": 3.8775824349437915, ""line_count"": 2, ""perspective_strength"": 0.008936393053038309}",unreviewed
captcha_000431,5507,data/captcha_images/captcha_000431_5507.png,sklearn_01228|sklearn_01650|sklearn_00150|sklearn_00157,"{""blur_radius"": 0.692584401217299, ""rotation"": -0.8816945829220826, ""brightness"": 0.8914897456616351, ""contrast"": 1.0550367681286592, ""noise_sigma"": 6.695531800772448, ""line_count"": 3, ""perspective_strength"": 0.03251138176485748}",unreviewed
captcha_000376,8868,data/captcha_images/captcha_000376_8868.png,sklearn_00500|sklearn_00524|sklearn_01773|sklearn_00264,"{""blur_radius"": 0.6514115040056693, ""rotation"": -0.06761721868243065, ""brightness"": 0.8782040607557354, ""contrast"": 0.9778957391149607, ""noise_sigma"": 5.569554955001161, ""line_count"": 2, ""perspective_strength"": 0.01440540289949224}",unreviewed
captcha_000297,2643,data/captcha_images/captcha_000297_2643.png,sklearn_01557|sklearn_00402|sklearn_00780|sklearn_00607,"{""blur_radius"": 0.2100007935875101, ""rotation"": -2.621595482435767, ""brightness"": 1.0528119313547823, ""contrast"": 0.9158073201050999, ""noise_sigma"": 6.8765124362939405, ""line_count"": 3, ""perspective_strength"": 0.005411022354753733}",unreviewed
captcha_000716,7296,data/captcha_images/captcha_000716_7296.png,sklearn_00758|sklearn_00214|sklearn_00641|sklearn_00662,"{""blur_radius"": 0.11215759301942355, ""rotation"": 0.2103093807169536, ""brightness"": 1.1407766471994232, ""contrast"": 1.075495264702855, ""noise_sigma"": 8.814250960629986, ""line_count"": 3, ""perspective_strength"": 0.010077172181329336}",unreviewed
